ascii_drawings
id,cat,elephant,frog,canadian_pride,wait_time,tag
1,off,off,off,off,5,short_all_off
2,off,off,off,off,60
3,off,off,off,off,300,long_all_off
4,off,off,off,on,5
5,off,off,off,on,60
6,off,off,off,on,300
7,off,off,on,off,5
8,off,off,on,off,60
9,off,off,on,off,300
10,off,off,on,on,5
11,off,off,on,on,60
12,off,off,on,on,300
13,off,on,off,off,5
14,off,on,off,off,60
15,off,on,off,off,300
16,off,on,off,on,5
17,off,on,off,on,60
18,off,on,off,on,300
19,off,on,on,off,5
20,off,on,on,off,60,favorite
21,off,on,on,off,300
22,off,on,on,on,5
23,off,on,on,on,60
24,off,on,on,on,300
25,on,off,off,off,5
26,on,off,off,off,60
27,on,off,off,off,300
28,on,off,off,on,5
29,on,off,off,on,60
30,on,off,off,on,300
31,on,off,on,off,5
32,on,off,on,off,60
33,on,off,on,off,300
34,on,off,on,on,5
35,on,off,on,on,60
36,on,off,on,on,300
37,on,on,off,off,5
38,on,on,off,off,60
39,on,on,off,off,300
40,on,on,off,on,5
41,on,on,off,on,60
42,on,on,off,on,300
43,on,on,on,off,5
44,on,on,on,off,60
45,on,on,on,off,300
46,on,on,on,on,5,short_all_on
47,on,on,on,on,60
48,on,on,on,on,300,long_all_on
